Epoch,Train_Loss,Validation_Loss
1,0.9489,0.9299
2,0.8022,0.8323
3,0.7656,0.8261
4,0.7419,0.8031
5,0.7201,0.7792
6,0.7082,0.7762
7,0.7006,0.7714
8,0.6987,0.7834
9,0.7026,0.7827
10,0.6997,0.7758
11,0.7031,0.7878
12,0.6801,0.7662
13,0.6763,0.7518
14,0.6759,0.7542
15,0.6695,0.7548
16,0.6678,0.7508
17,0.6670,0.7838
18,0.6788,0.7739
19,0.6653,0.7629
20,0.6591,0.7423
21,0.6567,0.7533
22,0.6584,0.7438
23,0.6563,0.7533
24,0.6608,0.7662
25,0.6523,0.7493
26,0.6514,0.7480
27,0.6498,0.7516
28,0.6478,0.7579
29,0.6451,0.7532
30,0.6470,0.7556
31,0.6479,0.7487
32,0.6407,0.7464
33,0.6396,0.7512
34,0.6405,0.7515
35,0.6393,0.7496
36,0.6355,0.7446
37,0.6335,0.7386
38,0.6333,0.7414
39,0.6314,0.7519
40,0.6302,0.7465
41,0.6316,0.7455
42,0.6274,0.7361
43,0.6282,0.7423
44,0.6289,0.7563
45,0.6267,0.7429
46,0.6256,0.7673
47,0.6225,0.7531
48,0.6198,0.7432
49,0.6193,0.7399
50,0.6203,0.7421
51,0.6198,0.7499
52,0.6186,0.7392
53,0.6159,0.7410
54,0.6164,0.7507
55,0.6140,0.7551
56,0.6167,0.7588
57,0.6138,0.7454
58,0.6121,0.7512
59,0.6104,0.7487
60,0.6080,0.7427
